titulo,genero,diretor,classificacao,ano,avaliacao,pais_origem
Filme 5002,Histórico,Nick Cassavetes,0,2025,5.8,Estados Unidos
Filme 1412,Fantasia,F.W. Murnau,0,1939,9.9,México
Filme 3956,Crime,Bryan Singer,14,2019,7.6,Suécia
Filme 2743,Sátira,Sidney Pollack,0,2007,5.7,Reino Unido
Filme 2974,Suspense,Guy Ritchie,4,2010,6.5,China
Filme 3510,Animação,Fernando Coimbra,14,1994,5.1,Espanha
Filme 2571,Drama,Cecil B. DeMille,12,1962,5.2,Coreia do Sul
Filme 5260,Comédia,Joel Coen,10,1940,4.5,Argentina
Filme 4312,Fantasia,John McTiernan,4,2018,9.8,México
Filme 1316,Biografia,Francis Lawrence,0,1922,5.4,Suécia
Filme 5327,Épico,João Batista de Andrade,4,1926,8.4,Japão
Filme 4214,Ação,Anselmo Duarte,12,1952,7.2,China
Filme 4229,Faroeste,Anselmo Duarte,10,2015,9.4,Austrália
Filme 1562,Musical,Hector Babenco,12,1986,7.1,Estados Unidos
Filme 347,Fantasia,Denis Villeneuve,14,1966,5.0,Japão
Filme 2766,Suspense,Roger Allers,18,1960,9.3,Itália
Filme 5426,Drama,Akira Kurosawa,4,1931,4.2,Itália
Filme 3136,Biografia,Éric Lartigau,18,2000,6.8,Suécia
Filme 1087,Épico,George Lucas,18,1960,8.7,Japão
Filme 747,Crime,Jane Campion,14,2004,7.4,Japão
Filme 801,Comédia,Patty Jenkins,18,1926,9.6,Brasil
Filme 280,Suspense,Fritz Lang,14,1933,7.9,Argentina
Filme 3552,Sátira,Selton Mello,0,1960,7.1,México
Filme 133,Fantasia,Mike Newell,12,2005,7.7,Índia
Filme 1421,Guerra,F.W. Murnau,4,1934,7.4,Brasil
Filme 2227,Drama,Martin McDonagh,0,2021,9.4,Japão
Filme 2715,Crime,Sidney Lumet,10,1983,6.8,Irlanda
Filme 5375,Histórico,Jorge Furtado,4,2025,6.1,Irlanda
Filme 168,Drama,Paul Greengrass,14,2013,7.8,Canadá
Filme 3399,Faroeste,Michael Jelenic,18,2019,5.5,Noruega
Filme 2272,Biografia,Peter Weir,14,1970,7.8,México
Filme 4620,Crime,Dan Kwan,18,2021,5.1,Argentina
Filme 2403,Drama,James Gunn,18,1987,7.1,Reino Unido
Filme 4029,Comédia,Luc Besson,0,1992,8.0,Austrália
Filme 334,Comédia,Olivia Wilde,16,2019,6.9,China
Filme 1882,Drama,David Fincher,16,1936,7.3,Estados Unidos
Filme 2092,Comédia,José Alvarenga Jr.,10,2010,4.7,México
Filme 2348,Terror,Julius Avery,14,2005,9.0,Canadá
Filme 812,Comédia,Spike Lee,10,1973,9.0,México
Filme 3907,Suspense,Paulo Morelli,16,1987,6.6,Japão
Filme 4410,Drama,John Lasseter,12,1972,5.1,Espanha
Filme 1371,Musical,Fritz Lang,14,2013,7.7,Coreia do Sul
Filme 4794,Crime,Chris Weitz,4,1978,5.7,China
Filme 4836,Épico,Richard Marquand,4,1996,5.8,Suécia
Filme 4330,Ficção Científica,George P. Cosmatos,12,1936,6.9,Espanha
Filme 506,Ficção Científica,Spike Lee,14,1982,9.4,Itália
Filme 3417,Guerra,Chloé Zhao,14,2002,4.8,Dinamarca
Filme 3685,Romance,Ivan Reitman,14,2008,8.4,Alemanha
Filme 241,Drama,David Lean,12,1946,7.8,Brasil
Filme 3636,Romance,Delbert Mann,18,1946,9.9,Suécia
Filme 4482,Musical,Tom McCarthy,0,1953,8.7,Estados Unidos
Filme 24,Terror,Stanley Kubrick,18,1980,8.4,França
Filme 927,Ficção Científica,Steven Spielberg,0,2008,8.2,Japão
Filme 1559,Guerra,Hector Babenco,12,2004,9.3,Noruega
Filme 4756,Sátira,Anthony Minghella,0,1920,5.0,Suécia
Filme 492,Comédia,Barry Jenkins,14,1995,9.3,México
Filme 4762,Aventura,Joseph Kosinski,12,2023,5.0,Estados Unidos
Filme 2570,Faroeste,Cecil B. DeMille,14,1968,7.2,Espanha
Filme 291,Fantasia,Guillermo del Toro,16,2017,7.4,Coreia do Sul
Filme 2551,Ação,Akira Kurosawa,12,2020,8.4,Coreia do Sul
Filme 2573,Romance,Cecil B. DeMille,18,2020,7.4,Índia
Filme 1091,Animação,George Lucas,16,2000,5.9,Coreia do Sul
Filme 2858,Animação,Olivia Wilde,16,1934,6.6,Nova Zelândia
Filme 1177,Ação,Peter Jackson,18,2008,5.0,Dinamarca
Filme 4561,Documentário,Jerry Zucker,16,2014,9.2,Brasil
Filme 4446,Drama,David O. Russell,12,2022,7.6,Itália
Filme 764,Ficção Científica,Jordan Peele,10,1967,4.9,França
Filme 3035,Aventura,Tom Hooper,16,2001,6.6,Irlanda
Filme 3873,Épico,Daniel Ribeiro,12,2016,6.4,Índia
Filme 454,Ficção Científica,Spike Lee,0,2008,8.7,China
Filme 4485,Épico,Tom McCarthy,18,2009,6.2,Alemanha
Filme 2647,Suspense,Roberto Benigni,0,1961,8.0,Japão
Filme 4506,Biografia,Christopher Nolan,0,2006,9.8,Itália
Filme 2460,Suspense,Louis Leterrier,12,1962,7.3,Argentina
Filme 1898,Crime,Robert Zemeckis,14,1987,5.3,Nova Zelândia
Filme 2761,Fantasia,Roger Allers,12,1966,9.0,Brasil
Filme 4760,Histórico,Joseph Kosinski,4,1966,7.5,Argentina
Filme 3656,Fantasia,Pedro Amorim,0,1959,7.5,Suécia
Filme 2670,Comédia,James Mangold,10,1973,7.8,Espanha
Filme 2283,Faroeste,Peter Weir,4,1949,6.3,Reino Unido
Filme 4956,Animação,David Slade,18,1971,5.2,Suécia
Filme 4127,Drama,Beto Brant,18,1962,8.8,Japão
Filme 1770,Ficção Científica,William Wyler,4,1968,9.6,Espanha
Filme 585,Biografia,Roger Allers,10,1964,5.7,Alemanha
Filme 2513,Drama,Jonathan Demme,10,2005,8.4,Índia
Filme 2604,Guerra,Irvin Kershner,10,1947,8.9,França
Filme 5435,Aventura,Eric Bress,16,2009,4.5,Irlanda
Filme 4903,Sátira,Todd Phillips,0,1968,9.2,Reino Unido
Filme 427,Animação,Spike Lee,12,2015,9.3,Japão
Filme 3690,Romance,Ivan Reitman,12,1952,6.8,Espanha
Filme 2729,Terror,Sidney Pollack,16,1946,7.1,Austrália
Filme 3783,Histórico,Cláudio Torres,10,1969,5.6,Reino Unido
Filme 1567,Épico,Hector Babenco,10,1986,4.9,Japão
Filme 2381,Ação,Michael Chaves,18,1975,4.2,Brasil
Filme 1324,Drama,Francis Lawrence,4,1997,6.3,França
Filme 2911,Guerra,Fernando Meirelles,14,1996,8.0,Coreia do Sul
Filme 2836,Suspense,Noah Baumbach,16,1971,7.9,Suécia
Filme 5109,Crime,Richard Curtis,0,1982,9.6,Austrália
Filme 2043,Biografia,Lasse Hallström,12,1970,8.3,Reino Unido
Filme 4629,Animação,Dan Kwan,12,2023,8.6,Austrália
Filme 1963,Documentário,Bong Joon-ho,10,1983,5.3,Reino Unido
Filme 4248,Suspense,Marcos Jorge,12,1971,8.0,Canadá
Filme 1778,Crime,William Wyler,12,1936,7.8,Nova Zelândia
Filme 3958,Crime,Bryan Singer,10,1949,6.9,Nova Zelândia
Filme 4651,Comédia,Gerard Johnstone,16,1961,9.1,Coreia do Sul
Filme 3642,Animação,Delbert Mann,12,2021,9.2,Estados Unidos
Filme 3654,Sátira,Delbert Mann,18,1947,8.6,China
Filme 352,Terror,Jordan Peele,18,1998,9.5,México
Filme 4249,Histórico,Marcos Jorge,16,2010,7.4,Austrália
Filme 2754,Terror,Roger Allers,18,1933,6.3,China
Filme 3127,Aventura,Stephen Daldry,16,1958,6.1,Japão
Filme 297,Drama,Darren Aronofsky,18,2000,8.3,Dinamarca
Filme 2989,Faroeste,Edward Zwick,4,2010,5.3,Austrália
Filme 374,Ficção Científica,Jane Campion,18,1990,6.8,China
Filme 298,Comédia,Jean-Pierre Jeunet,16,2001,8.3,Nova Zelândia
Filme 3218,Crime,Quentin Tarantino,14,1951,8.5,Nova Zelândia
Filme 2519,Biografia,Jonathan Demme,18,1997,9.8,Noruega
Filme 4987,Romance,Joe Wright,0,1957,6.6,Japão
Filme 1871,Biografia,Roberto Rossellini,16,1940,5.0,Coreia do Sul
Filme 5063,Comédia,Christian Ditter,18,1936,4.2,Reino Unido
Filme 1510,Fantasia,Darren Aronofsky,14,1940,6.6,Espanha
Filme 5218,Crime,Milos Forman,14,1952,5.9,Nova Zelândia
Filme 3115,Faroeste,Stephen Daldry,16,1976,8.9,Irlanda
Filme 4798,Faroeste,Chris Weitz,4,1993,4.5,Nova Zelândia
Filme 1777,Ação,William Wyler,12,2017,6.6,Dinamarca
Filme 1633,Suspense,Chad Stahelski,18,1927,4.8,Índia
Filme 2819,Sátira,Noah Baumbach,16,1947,9.8,Noruega
Filme 625,Aventura,Sidney Lumet,0,1994,6.2,Alemanha
Filme 5082,Romance,Scott Hicks,14,2020,5.9,Estados Unidos
Filme 4142,Documentário,Walter Salles,16,1976,8.2,Estados Unidos
Filme 4681,Documentário,Todd Field,14,1970,9.5,Brasil
Filme 1570,Musical,Hector Babenco,14,2021,8.0,Espanha
Filme 81,Drama,Kleber Mendonça Filho,14,2012,7.2,Brasil
Filme 1045,Musical,Sergio Leone,16,1931,5.3,Alemanha
Filme 1537,Ficção Científica,Robert Eggers,16,1965,4.7,Dinamarca
Filme 1859,Comédia,Roberto Rossellini,4,2016,7.6,Noruega
Filme 4884,Fantasia,Todd Phillips,12,1941,9.3,França
Filme 1594,Crime,Lana Wachowski,0,1963,6.4,China
Filme 1039,Drama,Sergio Leone,4,1983,6.3,Noruega
Filme 1243,Crime,Kleber Mendonça Filho,14,2025,8.7,Reino Unido
Filme 1096,Musical,George Lucas,16,2003,7.7,Suécia
Filme 878,Documentário,Denis Villeneuve,0,1989,9.0,Nova Zelândia
Filme 4991,Comédia,Joe Wright,4,1977,9.1,Coreia do Sul
Filme 1875,Ação,David Fincher,12,2003,5.1,Irlanda
Filme 2643,Biografia,Roberto Benigni,18,1996,4.5,Reino Unido
Filme 3108,Guerra,Stephen Daldry,0,2012,6.5,Canadá
Filme 4111,Histórico,Juan José Campanella,12,2007,7.2,Coreia do Sul
Filme 3579,Épico,José Henrique Fonseca,12,1958,6.6,Noruega
Filme 3014,Terror,Mel Gibson,12,2009,6.4,China
Filme 3407,Drama,Michael Jelenic,18,2004,7.8,Japão
Filme 5215,Ficção Científica,David Yates,16,1954,6.4,Irlanda
Filme 3947,Ficção Científica,Bryan Singer,16,1960,8.5,Japão
Filme 4119,Sátira,Beto Brant,0,2020,9.1,Noruega
Filme 997,Musical,Alfred Hitchcock,12,1942,9.4,Dinamarca
Filme 249,Drama,Blake Edwards,14,1962,7.8,Austrália
Filme 5056,Musical,Christian Ditter,18,2016,6.0,Suécia
Filme 2971,Comédia,Guy Ritchie,18,2025,8.5,Coreia do Sul
Filme 5371,Fantasia,Louis Leterrier,0,2025,4.9,Coreia do Sul
Filme 1823,Ficção Científica,Charlie Kaufman,18,1969,4.9,Reino Unido
Filme 1085,Épico,George Lucas,18,2006,8.1,Alemanha
Filme 3310,Documentário,Spike Jonze,18,2005,6.4,Espanha
Filme 3893,Ficção Científica,Daniel Ribeiro,16,1991,5.7,Índia
Filme 3593,Terror,Carlos Diegues,4,1957,8.2,Índia
Filme 5011,Faroeste,Nick Cassavetes,0,2010,8.4,Coreia do Sul
Filme 1979,Sátira,Frank Capra,18,2004,6.6,Noruega
Filme 1659,Crime,Alejandro González Iñárritu,18,2004,6.9,Noruega
Filme 590,Biografia,Christopher Nolan,16,2006,9.5,Espanha
Filme 5001,Fantasia,Nick Cassavetes,16,1979,5.9,Brasil
Filme 4574,Crime,Adam McKay,10,1993,7.5,China
Filme 5433,Musical,Sergio Leone,0,2014,4.5,Índia
Filme 539,Terror,Pedro Almodóvar,16,2021,7.5,Noruega
Filme 1159,Suspense,Francis Ford Coppola,16,1931,5.7,Noruega
Filme 2334,Suspense,Carol Reed,12,1948,6.5,China
Filme 108,Ação,Afonso Poyart,16,2012,6.9,Canadá
Filme 1600,Guerra,Jim Jarmusch,16,1927,9.8,Argentina
Filme 30,Suspense,Christopher Nolan,12,2006,8.5,Espanha
Filme 2898,Animação,Fernando Meirelles,14,1956,6.8,Nova Zelândia
Filme 4324,Comédia,John McTiernan,10,2006,5.3,França
Filme 240,Romance,David Lean,12,1965,8.0,Argentina
Filme 1651,Aventura,Alejandro González Iñárritu,0,1999,5.8,Coreia do Sul
Filme 402,Ficção Científica,Jane Campion,12,1975,8.1,Estados Unidos
Filme 1320,Animação,Francis Lawrence,18,1957,7.8,Argentina
Filme 1407,Musical,F.W. Murnau,4,1933,8.7,Japão
Filme 1145,Animação,Francis Ford Coppola,18,2015,9.8,Alemanha
Filme 4128,Histórico,Beto Brant,10,1974,5.5,Canadá
Filme 3397,Comédia,Michael Jelenic,18,1975,4.2,Dinamarca
Filme 795,Ficção Científica,Patty Jenkins,14,2004,4.9,Irlanda
Filme 890,Musical,Christopher Nolan,4,1939,8.6,Espanha
Filme 1074,Musical,David Yates,14,2020,6.8,China
Filme 3837,Aventura,Mark Dindal,10,1958,5.4,Dinamarca
Filme 1200,Histórico,James Cameron,0,1956,5.6,Argentina
Filme 4691,Musical,Mark Mylod,4,1997,6.0,Coreia do Sul
Filme 599,Biografia,Sylvester Stallone,10,2006,5.2,Noruega
Filme 4025,Animação,Luc Besson,18,1931,9.0,Alemanha
Filme 2464,Guerra,Louis Leterrier,12,2003,9.1,França
Filme 1303,Épico,Bill Condon,14,1936,5.0,Reino Unido
Filme 4589,Terror,Adam McKay,12,1939,7.5,Austrália
Filme 1210,Comédia,Brian De Palma,4,1999,7.2,Espanha
Filme 1774,Drama,William Wyler,0,1997,8.5,China
Filme 5278,Ação,Luc Besson,12,1939,6.4,Nova Zelândia
Filme 316,Ação,Edward Zwick,16,2003,7.7,Suécia
Filme 2779,Histórico,Andrew Niccol,10,1966,8.2,Noruega
Filme 839,Ficção Científica,Miyazaki Hayao,16,2006,9.4,Noruega
Filme 5137,Romance,Anthony Russo,16,2008,9.1,Dinamarca
Filme 656,Crime,Roger Allers,10,1956,7.7,Suécia
Filme 970,Musical,David Lean,12,1959,8.6,Espanha
Filme 4662,Sátira,Gerard Johnstone,12,1987,7.3,Estados Unidos
Filme 3607,Documentário,Carlos Diegues,16,1934,9.2,Japão
Filme 4705,Ação,Mark Mylod,12,2019,9.4,Alemanha
Filme 2526,Musical,Jonathan Demme,16,1939,7.2,Itália
Filme 5084,Musical,Scott Hicks,18,1951,8.4,França
Filme 4102,Ficção Científica,Juan José Campanella,0,2009,8.9,Estados Unidos
Filme 4033,Aventura,Luc Besson,14,1988,5.9,Índia
Filme 2111,Sátira,André Pellenz,14,1965,7.0,Coreia do Sul
Filme 382,Romance,Quentin Tarantino,14,1982,9.7,Estados Unidos
Filme 4096,Romance,Juan José Campanella,14,2014,8.3,Suécia
Filme 1351,Ficção Científica,Vittorio De Sica,10,1964,5.1,Coreia do Sul
Filme 158,Romance,Steven Spilberg,12,2014,7.7,Nova Zelândia
Filme 66,Drama,Kleber Mendonça Filho,16,2019,7.3,Itália
Filme 4328,Biografia,George P. Cosmatos,0,1987,6.3,Canadá
Filme 897,Romance,Billy Wilder,0,2007,4.2,Dinamarca
Filme 2466,Suspense,Louis Leterrier,12,2010,4.8,Itália
Filme 1394,Comédia,Chris Columbus,10,2021,8.6,China
Filme 1232,Comédia,Kleber Mendonça Filho,16,1987,7.8,México
Filme 1256,Drama,Blake Edwards,0,1965,6.8,Suécia
Filme 1579,Crime,Lana Wachowski,18,1971,9.8,Noruega
Filme 1433,Faroeste,Damien Chazelle,10,2001,5.1,Índia
Filme 3726,Biografia,Toninho Moura,0,1977,5.7,Itália
Filme 1056,Drama,Sergio Leone,18,1949,4.7,Suécia
Filme 1189,Ação,James Cameron,4,2000,8.2,Austrália
Filme 2030,Guerra,Halder Gomes,10,1936,8.2,Espanha
Filme 2229,Terror,Martin McDonagh,4,1949,9.6,Austrália
Filme 372,Animação,Patty Jenkins,12,1987,8.9,México
Filme 4770,Suspense,Joseph Kosinski,16,1951,9.8,Espanha
Filme 2759,Épico,Roger Allers,12,1953,6.0,Noruega
Filme 5020,Crime,Nick Cassavetes,14,1988,9.4,Argentina
Filme 1129,Terror,Federico Fellini,16,2008,9.5,Austrália
Filme 849,Romance,Lulu Wang,18,1952,5.8,Austrália
Filme 5191,Guerra,Fernando Coimbra,4,1963,8.4,Coreia do Sul
Filme 152,Romance,Steven Spilberg,14,2014,7.7,México
Filme 3376,Suspense,Robert Wiene,14,1960,9.6,Suécia
Filme 4673,Documentário,Todd Field,16,2006,9.6,Índia
Filme 1437,Terror,Damien Chazelle,16,1946,5.9,Dinamarca
Filme 4558,Ação,Jerry Zucker,14,1969,9.7,Nova Zelândia
Filme 2888,Ação,Fernando Meirelles,10,1947,5.0,Canadá
Filme 692,Épico,Alex Garland,14,1976,5.8,México
Filme 2707,Documentário,Sidney Lumet,10,1934,4.2,Japão
Filme 3289,Guerra,Bob Persichetti,16,2007,8.1,Austrália
Filme 2686,Biografia,Matt Ross,18,1999,6.0,Itália
Filme 1026,Animação,Hayao Miyazaki,18,1952,5.5,Itália
Filme 1372,Terror,Fritz Lang,14,1974,5.6,México
Filme 2343,Suspense,Julius Avery,4,2016,7.8,Reino Unido
Filme 5303,Sátira,Jonathan Demme,4,1933,9.6,Reino Unido
Filme 2958,Drama,Kate Herron,12,1986,9.7,Nova Zelândia
Filme 3871,Documentário,Luiz Fernando Carvalho,0,1985,7.3,Coreia do Sul
Filme 4073,Musical,Galder Gaztelu-Urrutia,0,1949,7.5,Índia
Filme 440,Ação,Taika Waititi,18,2002,6.1,Argentina
Filme 1116,Suspense,Roberto Santucci,18,1947,6.5,Suécia
Filme 4684,Aventura,Todd Field,16,2022,8.1,França
Filme 4376,Ficção Científica,Clint Eastwood,0,2006,6.8,Suécia
Filme 4628,Romance,Dan Kwan,12,1959,8.6,Canadá
Filme 2923,Histórico,Andy Muschietti,10,1939,6.0,Reino Unido
Filme 2053,Ação,Lasse Hallström,10,1949,6.8,Índia
Filme 626,Aventura,Ruben Östlund,4,2005,6.0,Itália
Filme 472,Drama,Taika Waititi,18,1979,9.4,México
Filme 3869,Sátira,Luiz Fernando Carvalho,12,1989,5.8,Austrália
Filme 252,Biografia,Milos Forman,14,1984,8.9,México
Filme 4514,Comédia,Christopher Nolan,12,2020,9.7,China
Filme 1761,Histórico,William Wyler,4,1979,5.9,Brasil
Filme 5323,Comédia,Kate Herron,18,1927,5.2,Reino Unido
Filme 1182,Documentário,Peter Jackson,14,1978,8.1,Estados Unidos
Filme 228,Comédia,Frank Capra,0,1934,8.2,Canadá
Filme 1551,Suspense,Robert Eggers,10,1958,9.0,Coreia do Sul
Filme 3081,Romance,Sarah Gavron,10,1961,8.8,Brasil
Filme 3086,Documentário,Sarah Gavron,4,1994,7.5,Itália
Filme 4003,Histórico,George Miller,10,1970,5.9,Reino Unido
Filme 469,Drama,Quentin Tarantino,16,1968,5.8,Austrália
Filme 502,Animação,Patty Jenkins,18,2014,5.1,Estados Unidos
Filme 5016,Crime,Nick Cassavetes,0,2010,7.9,Suécia
Filme 1021,Crime,Hayao Miyazaki,12,2017,5.7,Brasil
Filme 4944,Épico,Catherine Hardwicke,4,2003,8.3,França
Filme 1584,Comédia,Lana Wachowski,16,2001,9.2,França
Filme 3879,Musical,Daniel Ribeiro,18,1958,8.3,Noruega
Filme 1892,Animação,David Fincher,0,1978,9.2,México
Filme 5400,Animação,Nicolas Winding Refn,14,2017,9.8,Argentina
Filme 4401,Guerra,John Lasseter,14,1973,9.1,Brasil
Filme 293,Musical,Damien Chazelle,12,2016,8.0,Índia
Filme 5269,Ficção Científica,Toninho Moura,4,1936,4.7,Austrália
Filme 1887,Suspense,David Fincher,18,1962,8.2,Japão
Filme 4671,Aventura,Todd Field,4,2001,4.5,Coreia do Sul
Filme 1488,Suspense,Joel Coen,0,1991,6.9,Canadá
Filme 1216,Faroeste,Brian De Palma,16,1993,7.6,Suécia
Filme 3064,Romance,James Marsh,18,2001,6.0,França
Filme 419,Comédia,Denis Villeneuve,16,1981,6.7,Noruega
Filme 4959,Faroeste,David Slade,16,1939,4.7,Noruega
Filme 2136,Sátira,Steven Spilberg,0,1996,5.7,Suécia
Filme 3546,Guerra,Selton Mello,14,2017,5.4,Itália
Filme 894,Biografia,Christopher Nolan,4,1950,6.5,China
Filme 2331,Fantasia,Carol Reed,0,1920,5.4,Coreia do Sul
Filme 1072,Ação,David Yates,12,1927,5.0,México
Filme 466,Terror,Greta Gerwig,14,2019,6.2,Itália
Filme 4728,Musical,Mike Nichols,4,2019,7.7,Canadá
Filme 2844,Biografia,Olivia Wilde,14,1948,7.6,França
Filme 3464,Terror,Ruben Östlund,18,1994,7.4,França
Filme 4918,Ação,Gary Ross,12,2001,7.1,Nova Zelândia
Filme 4594,Suspense,Baz Luhrmann,0,1971,9.8,China
Filme 1733,Crime,Sam Mendes,4,1920,9.0,Índia
